answered,condition,correct,critical_word,elapsed_experiment_time,event,local_time,marker_code,psychopy_flip_time,reaction_time,response_key,sentence,session_id,subject_id,trial_id
,,,,0.0003102999999100575,EXP_START,12.423992799998814,33024,,,,,20260515_131040,S001,
,normal,,,,TRIAL_START,12.424310700000206,33025,,,,El pirata encontró un tesoro,20260515_131040,S001,1
,normal,,tesoro,,CRITICAL_NORMAL,14.584503399999448,33026,23.56223929999942,,,El pirata encontró un tesoro,20260515_131040,S001,1
True,normal,True,,,RESPONSE_SENSE,14.718373899999278,33028,,0.11725049999949988,f,,20260515_131040,S001,1
,absurda,,,,TRIAL_START,14.81560989999889,33025,,,,El gato duerme en el planeta,20260515_131040,S001,2
,absurda,,planeta,,CRITICAL_ABSURD,17.26781049999954,33027,26.24542350000047,,,El gato duerme en el planeta,20260515_131040,S001,2
True,absurda,True,,,RESPONSE_NONSENSE,17.836747499999547,33029,,0.5518630999995366,j,,20260515_131040,S001,2
,absurda,,,,TRIAL_START,17.93338439999934,33025,,,,El panadero hornea el zapato,20260515_131040,S001,3
,absurda,,zapato,,CRITICAL_ABSURD,20.101507599998513,33027,29.079377000000022,,,El panadero hornea el zapato,20260515_131040,S001,3
True,absurda,True,,,RESPONSE_NONSENSE,20.626232399999935,33029,,0.5077746999995725,j,,20260515_131040,S001,3
,absurda,,,,TRIAL_START,20.71492330000001,33025,,,,El robot cargó una emoción,20260515_131040,S001,4
,absurda,,emoción,,CRITICAL_ABSURD,22.88502460000018,33027,31.862637300000642,,,El robot cargó una emoción,20260515_131040,S001,4
True,absurda,True,,,RESPONSE_NONSENSE,23.339815199999066,33029,,0.43844369999897026,j,,20260515_131040,S001,4
,absurda,,,,TRIAL_START,23.432573399999455,33025,,,,El arquero atajó el wifi,20260515_131040,S001,5
,absurda,,wifi,,CRITICAL_ABSURD,25.600766499999736,33027,34.578734700000496,,,El arquero atajó el wifi,20260515_131040,S001,5
True,absurda,True,,,RESPONSE_NONSENSE,25.931045999999697,33029,,0.31336060000103316,j,,20260515_131040,S001,5
,normal,,,,TRIAL_START,26.015885699998762,33025,,,,El panadero hornea el pan,20260515_131040,S001,6
,normal,,pan,,CRITICAL_NORMAL,28.184605499998725,33026,37.162690699999075,,,El panadero hornea el pan,20260515_131040,S001,6
True,normal,True,,,RESPONSE_SENSE,28.516973300000245,33028,,0.3156321000005846,f,,20260515_131040,S001,6
,normal,,,,TRIAL_START,28.615073299999494,33025,,,,El piloto maneja el avión,20260515_131040,S001,7
,normal,,avión,,CRITICAL_NORMAL,30.78489459999946,33026,39.762865700000475,,,El piloto maneja el avión,20260515_131040,S001,7
True,normal,True,,,RESPONSE_SENSE,31.10869829999865,33028,,0.30770789999951376,f,,20260515_131040,S001,7
,normal,,,,TRIAL_START,31.198841999999786,33025,,,,La llave abre la puerta,20260515_131040,S001,8
,normal,,puerta,,CRITICAL_NORMAL,33.367988299998615,33026,42.34579730000041,,,La llave abre la puerta,20260515_131040,S001,8
True,normal,True,,,RESPONSE_SENSE,33.744751899999756,33028,,0.3602145000004384,f,,20260515_131040,S001,8
,absurda,,,,TRIAL_START,33.832196499999554,33025,,,,La llave abre el océano,20260515_131040,S001,9
,absurda,,océano,,CRITICAL_ABSURD,36.00139820000004,33027,44.979165799999464,,,La llave abre el océano,20260515_131040,S001,9
True,absurda,True,,,RESPONSE_NONSENSE,36.37509390000014,33029,,0.3578663999996934,j,,20260515_131040,S001,9
,normal,,,,TRIAL_START,36.465686800000185,33025,,,,El cocinero corta la cebolla,20260515_131040,S001,10
,normal,,cebolla,,CRITICAL_NORMAL,38.634328000000096,33026,47.61212109999906,,,El cocinero corta la cebolla,20260515_131040,S001,10
True,normal,True,,,RESPONSE_SENSE,39.0376183999997,33028,,0.38636140000016894,f,,20260515_131040,S001,10
,absurda,,,,TRIAL_START,39.132211299998744,33025,,,,Tomé café en una nube,20260515_131040,S001,11
,absurda,,nube,,CRITICAL_ABSURD,41.301591599998574,33027,50.279439699999784,,,Tomé café en una nube,20260515_131040,S001,11
True,absurda,True,,,RESPONSE_NONSENSE,41.64761819999876,33029,,0.33010030000150437,j,,20260515_131040,S001,11
,absurda,,,,TRIAL_START,41.73089069999878,33025,,,,El pirata encontró una contraseña,20260515_131040,S001,12
,absurda,,contraseña,,CRITICAL_ABSURD,43.90026129999933,33027,52.87811909999982,,,El pirata encontró una contraseña,20260515_131040,S001,12
True,absurda,True,,,RESPONSE_NONSENSE,44.231288199998744,33029,,0.31421810000028927,j,,20260515_131040,S001,12
,absurda,,,,TRIAL_START,44.33206640000026,33025,,,,El médico usa una guitarra,20260515_131040,S001,13
,absurda,,guitarra,,CRITICAL_ABSURD,46.500713800000085,33027,55.478359900000214,,,El médico usa una guitarra,20260515_131040,S001,13
True,absurda,True,,,RESPONSE_NONSENSE,46.883390599999984,33029,,0.3653280000016821,j,,20260515_131040,S001,13
,normal,,,,TRIAL_START,46.981590599998526,33025,,,,El médico usa un estetoscopio,20260515_131040,S001,14
,normal,,estetoscopio,,CRITICAL_NORMAL,49.150777599999856,33026,58.1285024000008,,,El médico usa un estetoscopio,20260515_131040,S001,14
True,normal,True,,,RESPONSE_SENSE,49.36891099999957,33028,,0.20228510000015376,f,,20260515_131040,S001,14
,absurda,,,,TRIAL_START,49.46495909999976,33025,,,,El pintor pinta el sonido,20260515_131040,S001,15
,absurda,,sonido,,CRITICAL_ABSURD,51.6337128999985,33027,60.61135149999973,,,El pintor pinta el sonido,20260515_131040,S001,15
True,absurda,True,,,RESPONSE_NONSENSE,51.98646980000012,33029,,0.3355451000006724,j,,20260515_131040,S001,15
,normal,,,,TRIAL_START,52.08169009999983,33025,,,,El gato duerme en el sillón,20260515_131040,S001,16
,normal,,sillón,,CRITICAL_NORMAL,54.53400429999965,33026,63.51163610000003,,,El gato duerme en el sillón,20260515_131040,S001,16
True,normal,True,,,RESPONSE_SENSE,55.349303099999815,33028,,0.7984484999997221,f,,20260515_131040,S001,16
,normal,,,,TRIAL_START,55.448499099999026,33025,,,,El pintor pinta la pared,20260515_131040,S001,17
,normal,,pared,,CRITICAL_NORMAL,57.61747739999919,33026,66.59549929999957,,,El pintor pinta la pared,20260515_131040,S001,17
True,normal,True,,,RESPONSE_SENSE,57.988699699999415,33028,,0.35437549999915063,f,,20260515_131040,S001,17
,normal,,,,TRIAL_START,58.08150620000015,33025,,,,El perro persigue al gato,20260515_131040,S001,18
,normal,,gato,,CRITICAL_NORMAL,60.2672249999996,33026,69.24497229999906,,,El perro persigue al gato,20260515_131040,S001,18
True,normal,True,,,RESPONSE_SENSE,60.57204230000025,33028,,0.28874419999920065,f,,20260515_131040,S001,18
,absurda,,,,TRIAL_START,60.66548679999869,33025,,,,El perro persigue al satélite,20260515_131040,S001,19
